range_params,upscale,upscale_method,epoch_number,compression,val_top_1
"[1, 0.14, 0.14, 0.1]",0.01,+,101,0.8761750191545629,0.8720703125
"[1, 0.14, 0.14, 0.1]",0.01,+,102,0.8764510096308319,0.871386706829071
"[1, 0.14, 0.14, 0.1]",0.01,+,103,0.8767105230637414,0.87060546875
"[1, 0.14, 0.14, 0.1]",0.01,+,104,0.8769659172358112,0.8720703125
"[1, 0.14, 0.14, 0.1]",0.01,+,105,0.8772007151036818,0.871386706829071
"[1, 0.14, 0.14, 0.1]",0.01,+,106,0.877394320363154,0.8729492425918579
"[1, 0.14, 0.14, 0.1]",0.01,+,107,0.8776002834051457,0.87353515625
"[1, 0.14, 0.14, 0.1]",0.01,+,108,0.8778350812730163,0.87451171875
"[1, 0.14, 0.14, 0.1]",0.01,+,109,0.8780657598800471,0.873730480670929
"[1, 0.14, 0.14, 0.1]",0.01,+,110,0.8783458696171559,0.870410144329071
"[1, 0.14, 0.14, 0.1]",0.01,+,111,0.8785559519199875,0.8724609613418579
"[1, 0.14, 0.14, 0.1]",0.01,+,112,0.8788113460920572,0.87353515625
"[1, 0.14, 0.14, 0.1]",0.01,+,113,0.8790502632207676,0.873730480670929
"[1, 0.14, 0.14, 0.1]",0.01,+,114,0.8793015381319976,0.874316394329071
"[1, 0.14, 0.14, 0.1]",0.01,+,115,0.8795239782173487,0.8736327886581421
"[1, 0.14, 0.14, 0.1]",0.01,+,116,0.8797752531285786,0.8736327886581421
"[1, 0.14, 0.14, 0.1]",0.01,+,117,0.8799853354314102,0.8750976324081421
"[1, 0.14, 0.14, 0.1]",0.01,+,118,0.8802242525601206,0.8744140863418579
"[1, 0.14, 0.14, 0.1]",0.01,+,119,0.8805167200797489,0.876757800579071
"[1, 0.14, 0.14, 0.1]",0.01,+,120,0.8807309216434203,0.873339831829071
"[1, 0.14, 0.14, 0.1]",0.01,+,121,0.8809368846854121,0.8736327886581421
"[1, 0.14, 0.14, 0.1]",0.01,+,122,0.8811840403358021,0.874707043170929
"[1, 0.14, 0.14, 0.1]",0.01,+,123,0.8813982418994736,0.875683605670929
"[1, 0.14, 0.14, 0.1]",0.01,+,124,0.8815959664197857,0.8753906488418579
"[1, 0.14, 0.14, 0.1]",0.01,+,125,0.8818142872442969,0.8746093511581421
"[1, 0.14, 0.14, 0.1]",0.01,+,126,0.8820037732429293,0.875195324420929
"[1, 0.14, 0.14, 0.1]",0.01,+,127,0.882209736284921,0.875683605670929
"[1, 0.14, 0.14, 0.1]",0.01,+,128,0.882386864501034,0.876269519329071
"[1, 0.14, 0.14, 0.1]",0.01,+,129,0.8825681119779867,0.876660168170929
"[1, 0.14, 0.14, 0.1]",0.01,+,130,0.8828070291066971,0.8759765625
"[1, 0.14, 0.14, 0.1]",0.01,+,131,0.8829882765836499,0.8755859136581421
"[1, 0.14, 0.14, 0.1]",0.01,+,132,0.8831365699738839,0.8755859136581421
"[1, 0.14, 0.14, 0.1]",0.01,+,133,0.8833631293200748,0.8760741949081421
"[1, 0.14, 0.14, 0.1]",0.01,+,134,0.8835608538403869,0.8746093511581421
"[1, 0.14, 0.14, 0.1]",0.01,+,135,0.8837462205781794,0.8741210699081421
"[1, 0.14, 0.14, 0.1]",0.01,+,136,0.8839151102726127,0.8753906488418579
"[1, 0.14, 0.14, 0.1]",0.01,+,137,0.8841087155320849,0.8749023675918579
"[1, 0.14, 0.14, 0.1]",0.01,+,138,0.884306440052397,0.874707043170929
"[1, 0.14, 0.14, 0.1]",0.01,+,139,0.8844712104859904,0.874316394329071
"[1, 0.14, 0.14, 0.1]",0.01,+,140,0.8846195038762245,0.874804675579071
"[1, 0.14, 0.14, 0.1]",0.01,+,141,0.8847966320923374,0.876171886920929
"[1, 0.14, 0.14, 0.1]",0.01,+,142,0.8849778795692901,0.87548828125
"[1, 0.14, 0.14, 0.1]",0.01,+,143,0.8852167966980005,0.874218761920929
"[1, 0.14, 0.14, 0.1]",0.01,+,144,0.8854351175225118,0.8755859136581421
"[1, 0.14, 0.14, 0.1]",0.01,+,145,0.8855751723910662,0.875781238079071
"[1, 0.14, 0.14, 0.1]",0.01,+,146,0.8857811354330579,0.8765624761581421
