range_params,upscale,upscale_method,epoch_number,compression,val_top_1
"[1, 0.14, 0.14, 0.1]",0.01,+,123,0.9076502912317413,0.869824230670929
"[1, 0.14, 0.14, 0.1]",0.01,+,124,0.9076544104925812,0.8681640625
"[1, 0.14, 0.14, 0.1]",0.01,+,125,0.9076667682751007,0.8692382574081421
"[1, 0.14, 0.14, 0.1]",0.01,+,126,0.9076791260576202,0.869921863079071
"[1, 0.14, 0.14, 0.1]",0.01,+,127,0.9076791260576202,0.8700195550918579
"[1, 0.14, 0.14, 0.1]",0.01,+,128,0.9077038416226593,0.8700195550918579
"[1, 0.14, 0.14, 0.1]",0.01,+,129,0.9077120801443389,0.8692382574081421
"[1, 0.14, 0.14, 0.1]",0.01,+,130,0.9077120801443389,0.870312511920929
"[1, 0.14, 0.14, 0.1]",0.01,+,131,0.9077244379268584,0.869433581829071
"[1, 0.14, 0.14, 0.1]",0.01,+,132,0.9077326764485381,0.8707031011581421
"[1, 0.14, 0.14, 0.1]",0.01,+,133,0.9077367957093779,0.8705078363418579
"[1, 0.14, 0.14, 0.1]",0.01,+,134,0.9077409149702177,0.8709961175918579
"[1, 0.14, 0.14, 0.1]",0.01,+,135,0.9077450342310576,0.8719726800918579
"[1, 0.14, 0.14, 0.1]",0.01,+,136,0.9077573920135771,0.87353515625
"[1, 0.14, 0.14, 0.1]",0.01,+,137,0.9077779883177762,0.8731445074081421
"[1, 0.14, 0.14, 0.1]",0.01,+,138,0.9077821075786161,0.874707043170929
"[1, 0.14, 0.14, 0.1]",0.01,+,139,0.9077944653611356,0.874707043170929
"[1, 0.14, 0.14, 0.1]",0.01,+,140,0.9078027038828153,0.8749023675918579
"[1, 0.14, 0.14, 0.1]",0.01,+,141,0.9078068231436551,0.8734375238418579
"[1, 0.14, 0.14, 0.1]",0.01,+,142,0.9078191809261746,0.87255859375
"[1, 0.14, 0.14, 0.1]",0.01,+,143,0.9078315387086942,0.87158203125
"[1, 0.14, 0.14, 0.1]",0.01,+,144,0.9078356579695339,0.8714843988418579
"[1, 0.14, 0.14, 0.1]",0.01,+,145,0.9078356579695339,0.872363269329071
"[1, 0.14, 0.14, 0.1]",0.01,+,146,0.9078438964912137,0.8729492425918579
"[1, 0.14, 0.14, 0.1]",0.01,+,147,0.9078480157520534,0.871777355670929
"[1, 0.14, 0.14, 0.1]",0.01,+,148,0.9078603735345729,0.871874988079071
"[1, 0.14, 0.14, 0.1]",0.01,+,149,0.9078727313170925,0.870898425579071
"[1, 0.14, 0.14, 0.1]",0.01,+,150,0.9078768505779323,0.8702148199081421
"[1, 0.14, 0.14, 0.1]",0.01,+,151,0.9078809698387721,0.869824230670929
"[1, 0.14, 0.14, 0.1]",0.01,+,152,0.9078809698387721,0.8697265386581421
"[1, 0.14, 0.14, 0.1]",0.01,+,153,0.9078892083604518,0.870410144329071
"[1, 0.14, 0.14, 0.1]",0.01,+,154,0.9078933276212916,0.87158203125
"[1, 0.14, 0.14, 0.1]",0.01,+,155,0.9078933276212916,0.872753918170929
"[1, 0.14, 0.14, 0.1]",0.01,+,156,0.9078933276212916,0.87451171875
"[1, 0.14, 0.14, 0.1]",0.01,+,157,0.9078974468821315,0.87451171875
"[1, 0.14, 0.14, 0.1]",0.01,+,158,0.9079015661429714,0.87451171875
"[1, 0.14, 0.14, 0.1]",0.01,+,159,0.9079056854038111,0.875683605670929
"[1, 0.14, 0.14, 0.1]",0.01,+,160,0.907909804664651,0.875195324420929
"[1, 0.14, 0.14, 0.1]",0.01,+,161,0.9079139239254909,0.8729492425918579
"[1, 0.14, 0.14, 0.1]",0.01,+,162,0.9079180431863306,0.8755859136581421
"[1, 0.14, 0.14, 0.1]",0.01,+,163,0.9079262817080103,0.87548828125
"[1, 0.14, 0.14, 0.1]",0.01,+,164,0.9079262817080103,0.875683605670929
"[1, 0.14, 0.14, 0.1]",0.01,+,165,0.90793452022969,0.8758789300918579
"[1, 0.14, 0.14, 0.1]",0.01,+,166,0.90793452022969,0.8768554925918579
"[1, 0.14, 0.14, 0.1]",0.01,+,167,0.90793452022969,0.876660168170929
"[1, 0.14, 0.14, 0.1]",0.01,+,168,0.90793452022969,0.8744140863418579
"[1, 0.14, 0.14, 0.1]",0.01,+,169,0.9079427587513696,0.874707043170929
"[1, 0.14, 0.14, 0.1]",0.01,+,170,0.9079427587513696,0.8775390386581421
"[1, 0.14, 0.14, 0.1]",0.01,+,171,0.9079427587513696,0.878222644329071
"[1, 0.14, 0.14, 0.1]",0.01,+,172,0.9079468780122095,0.8758789300918579
"[1, 0.14, 0.14, 0.1]",0.01,+,173,0.9079468780122095,0.876660168170929
"[1, 0.14, 0.14, 0.1]",0.01,+,174,0.9079509972730493,0.877246081829071
"[1, 0.14, 0.14, 0.1]",0.01,+,175,0.9079509972730493,0.8779296875
"[1, 0.14, 0.14, 0.1]",0.01,+,176,0.9079509972730493,0.8758789300918579
"[1, 0.14, 0.14, 0.1]",0.01,+,177,0.9079509972730493,0.876953125
"[1, 0.14, 0.14, 0.1]",0.01,+,178,0.9079509972730493,0.8778320550918579
"[1, 0.14, 0.14, 0.1]",0.01,+,179,0.9079509972730493,0.876757800579071
"[1, 0.14, 0.14, 0.1]",0.01,+,180,0.9079509972730493,0.877148449420929
"[1, 0.14, 0.14, 0.1]",0.01,+,181,0.9079551165338892,0.878125011920929
"[1, 0.14, 0.14, 0.1]",0.01,+,182,0.9079551165338892,0.8783203363418579
"[1, 0.14, 0.14, 0.1]",0.01,+,183,0.907959235794729,0.8788086175918579
"[1, 0.14, 0.14, 0.1]",0.01,+,184,0.907959235794729,0.879589855670929
"[1, 0.14, 0.14, 0.1]",0.01,+,185,0.907959235794729,0.87841796875
"[1, 0.14, 0.14, 0.1]",0.01,+,186,0.907959235794729,0.877734363079071
"[1, 0.14, 0.14, 0.1]",0.01,+,187,0.907959235794729,0.87939453125
"[1, 0.14, 0.14, 0.1]",0.01,+,188,0.907959235794729,0.8790038824081421
"[1, 0.14, 0.14, 0.1]",0.01,+,189,0.9079633550555688,0.8790038824081421
"[1, 0.14, 0.14, 0.1]",0.01,+,190,0.9079633550555688,0.878613293170929
"[1, 0.14, 0.14, 0.1]",0.01,+,191,0.9079633550555688,0.878613293170929
"[1, 0.14, 0.14, 0.1]",0.01,+,192,0.9079633550555688,0.8798828125
"[1, 0.14, 0.14, 0.1]",0.01,+,193,0.9079633550555688,0.8802734613418579
"[1, 0.14, 0.14, 0.1]",0.01,+,194,0.9079674743164087,0.8790038824081421
"[1, 0.14, 0.14, 0.1]",0.01,+,195,0.9079674743164087,0.878613293170929
"[1, 0.14, 0.14, 0.1]",0.01,+,196,0.9079674743164087,0.87890625
"[1, 0.14, 0.14, 0.1]",0.01,+,197,0.9079674743164087,0.8788086175918579
"[1, 0.14, 0.14, 0.1]",0.01,+,198,0.9079674743164087,0.879199206829071
"[1, 0.14, 0.14, 0.1]",0.01,+,199,0.9079674743164087,0.879199206829071
"[1, 0.14, 0.14, 0.1]",0.04,+,0,0.5899934915678731,0.4540039002895355
"[1, 0.14, 0.14, 0.1]",0.04,+,1,0.6716042873266821,0.5093749761581421
"[1, 0.14, 0.14, 0.1]",0.04,+,2,0.7245203120752012,0.5624023675918579
"[1, 0.14, 0.14, 0.1]",0.04,+,3,0.7621332828037337,0.600390613079071
"[1, 0.14, 0.14, 0.1]",0.04,+,4,0.7893368813900034,0.6827148199081421
"[1, 0.14, 0.14, 0.1]",0.04,+,5,0.8111071749285308,0.707324206829071
"[1, 0.14, 0.14, 0.1]",0.04,+,6,0.8282021074138457,0.70068359375
"[1, 0.14, 0.14, 0.1]",0.04,+,7,0.8421375668350072,0.704394519329071
"[1, 0.14, 0.14, 0.1]",0.04,+,8,0.8535767541872287,0.711718738079071
"[1, 0.14, 0.14, 0.1]",0.04,+,9,0.8633270445951179,0.739941418170929
"[1, 0.14, 0.14, 0.1]",0.04,+,10,0.8714255114062333,0.751171886920929
"[1, 0.14, 0.14, 0.1]",0.04,+,11,0.8782964384870778,0.7323242425918579
"[1, 0.14, 0.14, 0.1]",0.04,+,12,0.8844835682685099,0.712890625
"[1, 0.14, 0.14, 0.1]",0.04,+,13,0.8897891762302172,0.71484375
"[1, 0.14, 0.14, 0.1]",0.04,+,14,0.8943286016757153,0.720019519329071
"[1, 0.14, 0.14, 0.1]",0.04,+,15,0.8983119269078357,0.715136706829071
"[1, 0.14, 0.14, 0.1]",0.04,+,16,0.9019327571860505,0.7076171636581421
"[1, 0.14, 0.14, 0.1]",0.04,+,17,0.9051375421194421,0.7095702886581421
"[1, 0.14, 0.14, 0.1]",0.04,+,18,0.9080457402723655,0.708789050579071
"[1, 0.14, 0.14, 0.1]",0.04,+,19,0.910579085688864,0.72998046875
"[1, 0.14, 0.14, 0.1]",0.04,+,20,0.9127458168906172,0.7362304925918579
"[1, 0.14, 0.14, 0.1]",0.04,+,21,0.914797208788855,0.743359386920929
"[1, 0.14, 0.14, 0.1]",0.04,+,22,0.9166673532101399,0.738574206829071
"[1, 0.14, 0.14, 0.1]",0.04,+,23,0.9184221583279096,0.7289062738418579
"[1, 0.14, 0.14, 0.1]",0.04,+,24,0.9199174500127697,0.7412109375
"[1, 0.14, 0.14, 0.1]",0.04,+,25,0.921359191306712,0.7342773675918579
"[1, 0.14, 0.14, 0.1]",0.04,+,26,0.9226567584712599,0.7291015386581421
"[1, 0.14, 0.14, 0.1]",0.04,+,27,0.923801912984734,0.7354491949081421
"[1, 0.14, 0.14, 0.1]",0.04,+,28,0.9248523244988919,0.735546886920929
"[1, 0.14, 0.14, 0.1]",0.04,+,29,0.9258903782305303,0.74365234375
"[1, 0.14, 0.14, 0.1]",0.04,+,30,0.9268254504411728,0.746777355670929
"[1, 0.14, 0.14, 0.1]",0.04,+,31,0.9277399263476162,0.757519543170929
