range_params,upscale,upscale_method,epoch_number,compression,val_top_1
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1868,0.993417421,0.500097632
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1869,0.993417421,0.507226586
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1870,0.993417421,0.504882813
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1871,0.993417421,0.508105457
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1872,0.993417421,0.5078125
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1873,0.993417421,0.507128894
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1874,0.993417421,0.509570301
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1875,0.993417421,0.51083982
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1876,0.993417421,0.511621118
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1877,0.993417421,0.508984387
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1878,0.993417421,0.507324219
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1879,0.993417421,0.508398414
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1880,0.993417421,0.509277344
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1881,0.993417421,0.507617176
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1882,0.993417421,0.506738305
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1883,0.993417421,0.514062524
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1884,0.993417421,0.512207031
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1885,0.993417421,0.510546863
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1886,0.993417421,0.511523426
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1887,0.993417421,0.505664051
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1888,0.993417421,0.511132836
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1889,0.993417421,0.514062524
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1890,0.993417421,0.513281226
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1891,0.993417421,0.513476551
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1892,0.993417421,0.514550805
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1893,0.993417421,0.515722632
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1894,0.993417421,0.517773449
